Site,Year,acpa,acce,moan,maca,decy,sisp,fafr,disp,meme,cona,issi,eufa,mysp,muan,masp,dsto,lesp,maar,stin,scsp,ocul,clar,sosp,agag,Agsp,po-branch,po-massive,livecoral,deadcoral,poas,poco,popo,sand,pavement,sponge-all,bransoft,feathsoft,fansoft,rubble,algae-all,fila-macro,flesh-macro,crustose,montast-all,Anemcolon,Anemsol,Zoanthids,pofur,erect-soft,enc-soft,fire-coral,sponge-erect,sponge-encrusting
Bigelow,2012,-1.099E-17,2.845E-16,1.745,2.353,0.252,0.827,0.000,-4.580E-16,0.351,0.238,-2.684E-17,5.551E-17,1.943E-16,1.794E-17,-1.145E-16,3.469E-17,7.633E-17,3.216E-17,2.776E-16,8.674E-18,-4.371E-19,4.879E-19,5.525E-19,0.736,1.254,0.889,2.500,10.755,1.086,2.389,0.110,0.610,25.720,2.031,10.455,10.754,7.746,8.376,7.113,13.581,13.070,0.386,0.125,4.098,-5.551E-17,7.633E-17,2.609E-15,0.279,20.795,2.024,0.358,15.467,3.931
Bigelow,2013,-1.193E-17,9.021E-16,2.300,1.634,-3.331E-16,3.229,1.110E-16,0.469,0.450,8.604E-16,5.999E-18,3.053E-16,0.235,5.421E-19,0.225,5.551E-17,6.245E-17,2.878E-17,0.225,-2.270E-17,1.193E-18,-6.588E-18,-2.096E-18,1.380,1.389,0.695,4.628,16.860,5.548,4.628,2.914E-16,0.695,11.810,4.901,16.016,12.448,3.934,13.349,8.168,4.197,1.643,2.328,0.225,3.934,4.163E-17,-4.302E-16,9.992E-16,9.992E-16,20.308,1.380,1.389,14.121,3.474
Bigelow,2014,-5.349E-18,3.886E-16,2.950,1.370,-3.331E-16,2.496,-5.551E-17,-2.220E-16,0.225,8.327E-16,-1.580E-17,1.596E-16,2.220E-16,4.714E-18,1.388E-17,3.123E-17,1.180E-16,5.182E-17,5.274E-16,3.957E-18,1.538E-18,-6.686E-19,-4.337E-18,1.592,1.132,0.455,3.187,13.407,8.882E-15,3.187,-4.163E-16,0.455,17.039,0.680,16.130,12.945,8.414,13.651,0.460,16.138,12.715,3.197,0.227,4.319,-8.327E-17,-7.633E-17,7.216E-16,5.135E-16,27.527,2.776E-16,0.454,18.664,3.408
Bigelow,2015,-1.540E-17,1.527E-16,3.658,1.827,5.551E-17,2.080,-5.551E-17,0.228,0.690,6.661E-16,-2.561E-17,1.804E-16,2.984E-16,2.308E-17,0.450,1.006E-16,8.531E-17,3.534E-17,0.461,1.543E-17,-2.507E-19,4.337E-19,6.254E-19,2.287,0.690,0.699,5.258,18.096,3.924,5.258,-7.980E-17,0.466,8.179,1.145,19.642,13.283,8.225,12.410,4.799,7.329,1.832,5.498,0.000,5.485,-5.439E-17,8.327E-17,0.228,0.233,39.771,1.827,0.913,27.383,3.442
Bigelow,2016,-3.361E-17,1.102E-14,3.084,1.915,-4.496E-15,3.319,0.235,-6.606E-15,3.469E-15,4.968E-15,1.397E-15,2.554E-15,0.235,-3.991E-16,3.018E-15,-7.667E-16,-1.549E-15,-8.967E-16,0.469,-9.137E-16,3.216E-18,-1.055E-16,-1.294E-17,0.700,0.688,1.919,3.044,15.374,5.926,3.044,7.459E-16,1.684,16.901,-3.153E-14,17.812,11.330,6.141,13.099,3.996,6.295,1.166,4.895,0.235,4.999,3.264E-15,4.011E-15,-2.331E-15,0.235,19.212,2.651,0.474,13.536,6.081
Crab Cove,1992,0.161,6.477,5.423,3.023,0.995,1.553,0.179,3.053,2.359E-16,8.882E-16,-1.214E-17,1.457E-16,3.053E-16,0.179,1.554,0.179,-8.674E-18,5.464E-17,1.665E-16,-1.735E-17,8.674E-19,1.084E-19,-4.337E-19,2.304,-1.110E-16,1.561,0.344,26.983,13.759,0.344,-7.286E-17,1.561,6.386,-1.998E-15,2.459,22.435,1.236,4.092,14.565,2.501,-1.776E-15,2.162,0.339,8.447,2.056,9.714E-17,2.056,-4.163E-17,19.176,1.022,2.007,16.132,1.296
Crab Cove,1993,-1.214E-17,6.924,3.548,2.058,-1.665E-16,3.143,-5.551E-17,1.364,1.110E-16,0.572,-4.510E-17,0.286,-8.882E-16,0.142,1.530,4.857E-17,2.082E-17,6.592E-17,0.278,1.561E-17,1.735E-18,-3.253E-19,-1.735E-18,1.040,-5.551E-17,1.027,2.303,24.217,3.123,2.303,5.551E-17,1.027,0.434,0.556,4.873,34.801,7.384,4.559,8.896,5.639,0.147,5.349,0.142,5.607,1.665E-16,-1.180E-16,1.415,2.082E-17,37.723,1.688,2.415,33.017,4.251
Crab Cove,1994,2.082E-17,6.890,2.879,1.434,-5.551E-16,3.439,-1.665E-16,0.860,5.597E-16,-2.331E-15,-1.041E-17,-1.897E-16,2.220E-16,-1.622E-16,0.865,1.874E-16,-7.112E-17,1.301E-17,-2.776E-17,-8.674E-18,1.735E-18,4.066E-19,-8.674E-19,1.422,1.665E-16,2.584,2.014,21.522,2.572,2.014,9.888E-17,1.719,2.287,0.570,3.731,33.218,9.162,4.021,11.174,5.731,0.287,1.722,3.721,4.313,-6.037E-16,1.388E-17,1.437,0.865,47.721,2.869,1.707,41.032,2.012
Crab Cove,1995,-1.214E-17,3.637,5.880,1.973,-7.772E-16,5.028,0.280,2.806,-2.082E-16,-1.110E-16,0.282,0.563,1.332E-15,0.282,2.792,5.204E-17,0.278,0.280,0.560,2.429E-16,-3.698E-32,3.253E-19,-1.735E-18,3.646,-2.220E-16,1.966,3.912,33.326,0.282,3.072,0.840,1.966,2.521,0.843,3.361,14.557,7.290,4.209,6.725,15.131,7.297,3.919,3.915,7.853,2.239,0.558,7.276,-1.665E-16,24.859,1.398,1.963,20.850,1.401
Crab Cove,1996,-6.939E-18,4.599,8.250,3.984,-8.882E-16,4.552,3.886E-16,2.025,1.665E-16,0.867,2.768E-16,0.275,-1.110E-16,-4.857E-17,3.117,0.275,0.575,6.072E-17,5.274E-16,6.765E-17,2.168E-18,7.860E-19,-4.337E-19,3.117,1.110E-16,5.121,1.699,35.619,0.275,1.423,0.275,2.561,3.764,-4.441E-16,2.278,8.243,5.689,3.953,10.881,19.282,7.728,10.406,1.148,12.234,1.437,0.292,4.305,2.561,17.748,3.438,1.979,15.193,-4.441E-15
